id,pose_x,pose_y,pose_z,rot_x,rot_y,rot_z,rot_w,command,,
0,-4.931,3.41178,0,0,0,-0.390991,0.920394,skip:2,wait:2,
1,-0.582043,0.369195,0,0,0,-0.373766,0.927523,,,
2,3.34777,-3.18996,0,0,0,-0.384145,0.923273,wait,,
3,8.58121,-8.07095,0,2.89685e-08,7.12346e-09,0.0399339,0.999202,,,
4,12.5222,-4.10642,0,0,0,0.357528,0.933902,,,
5,18.4855,1.67427,0,0,0,0.366778,0.930309,,,
6,23.7009,6.74983,0,0,0,0.353245,0.935531,,,
7,27.9206,11.6362,0,1.25141e-08,4.03569e-08,0.793257,0.608886,,,
8,20.0633,14.9148,0,0,0,0.987698,0.156371,,,
9,10.8859,17.6426,0,0,0,0.990173,0.139849,,,
10,2.13388,20.3211,0,0,0,0.993024,0.117909,konnnichiha,,
11,-6.55316,22.9295,-3.05176e-05,0,0,0.991034,0.133612,gadsagesふ,,
12,-15.0451,24.8557,0,0,0,0.994209,0.107462,,,
13,-22.008,26.6825,0,0,0,0.989488,0.144615,key,,
14,-28.9081,28.5153,0,0,0,-0.566267,0.824222,stop:3,end,
15,-28.7988,25.323,0,0,0,-0.513186,0.858278,,,
16,-21.8313,17.7086,0,0,0,-0.415461,0.909611,,,
17,-14.5618,10.1459,0,0,0,-0.345581,0.938389,fddfsfd,,
18,-7.66195,5.55622,0,0,0,-0.400003,0.916514,,,
